Major_Group,Title,Deductive_Reasoning,Dynamic_Strength,Explosive_Strength,Fluency_of_Ideas,Inductive_Reasoning,Manual_Dexterity,Mathematical_Reasoning,Memorization,Oral_Comprehension,Oral_Expression,Perceptual_Speed,Reaction_Time,Selective_Attention,Stamina,Static_Strength,Visualization,Written_Comprehension,Written_Expression,ComplexProb,CritThink,Negotiation,Persuasion,SocPercept,TimeMgmt,Troubleshooting,California,Hawaii,NorthCarolina
13,"Buyers and Purchasing Agents, Farm Products",3.62,1.5,1,3,3.38,1.75,3.12,2.38,3.62,4,2.5,1,2.88,1.88,1.75,2.12,3.62,3.25,2,2,3,3,2,2,1, , , 
17,Cartographers and Photogrammetrists,3.5,1.5,1,3,3.62,2.25,3,2.5,3.88,3.5,3,1.12,3,1,1,3.25,4,3.5,2,2,1,1,1,1,1,107520,88120,76570
17,Chemical Engineers,4,1,1,3.75,3.88,1.12,4,2.75,4,3.75,3.38,1.62,3.25,1,1,3.25,4.12,3.25,2,2,3,2,1,1,3, , ,118220
17,Civil Engineering Technologists and Technicians,3.88,1.38,1,3,3.38,2,3.88,2.25,3.88,3.75,2.88,1.62,3,1,1,3.62,3.88,3.62,2,2,2,1,1,1,1,84480,65910,59250
17,Civil Engineers,4,1,1,3.75,4,1,3.88,2.62,4,4,3.62,1,3,1,1,3.75,4,4,2,2,3,2,1,2,1,122050,97590,100500
13,"Claims Adjusters, Examiners, and Investigators",4,1.5,1,2.75,4,1.75,3,2.62,4.12,4.12,3,1,3,1,1,2.5,4.38,3.88,2,2,3,2,2,1,1,92060,80210,75220
13,"Compensation, Benefits, and Job Analysis Specialists",3.62,1.25,1,3,3.62,1.38,3.12,2,3.88,4,2.62,1,3,1,1,2,3.88,3.38,2,2,3,2,1,1,1,98410,73250,75130
13,Compliance Officers,3.88,1.62,1.62,3,3.5,1.62,2.12,2.5,4,4,2.75,1.75,3,1.75,1.62,2.5,4,4,2,2,3,3,2,2,1,98970,83510,82190
17,Computer Hardware Engineers,4,1,1,3.25,4,2.25,3.12,2.75,4,4,2.88,1,2.88,1,1,3.25,4,3.75,2,2,1,2,1,2,3,183350,142010,137020
13,Cost Estimators,3.75,1,1,3,4.12,1.12,4,2,4,4,2.88,1,3,1,1,3,3.88,3.75,2,2,3,2,2,1,1,94880,82860,74660
13,Credit Analysts,3.75,1,1,2.88,3.88,1.62,3.75,2.38,3.88,4,3,1,2.88,1,1,1.88,3.88,3.38,1,2,1,1,1,1,1,108520,86710,101150
13,Credit Counselors,3.75,1.38,1,3.12,3.75,1.5,3.12,2.12,4,4.12,2.62,1,3,1,1,2.12,3.88,3.75,2,2,3,3,2,2,1,68820, ,54650
17,Electrical and Electronic Engineering Technologists and Technicians,3.88,1.88,1.62,3,3.88,2.75,2.75,2.5,3.75,3.5,3.25,2,3.12,1.75,1.62,3.38,3.88,3.38,2,2,1,1,1,1,3,90560,89660,72300
17,Electrical and Electronics Drafters,3.25,1.62,1.12,2.88,3.25,2.38,3,2.62,3.88,3.62,2.88,1.12,2.88,1.12,1.12,3.62,4,3.62,2,2,2,2,1,2,3,84960,66110,75830
