Major_Group,Title,Deductive_Reasoning,Dynamic_Strength,Explosive_Strength,Fluency_of_Ideas,Inductive_Reasoning,Manual_Dexterity,Mathematical_Reasoning,Memorization,Oral_Comprehension,Oral_Expression,Perceptual_Speed,Reaction_Time,Selective_Attention,Stamina,Static_Strength,Visualization,Written_Comprehension,Written_Expression,ComplexProb,CritThink,Negotiation,Persuasion,SocPercept,TimeMgmt,Troubleshooting,Montana,NorthCarolina,Wyoming
25,"Geography Teachers, Postsecondary",3.75,1,1,3.12,3.75,1,2.62,2.5,4,4.25,2.12,1,2.88,1,1,2.25,4,4.12,2,2,2,2,2,2,1, ,88700, 
25,"Health Specialties Teachers, Postsecondary",3.88,1.75,1.38,3.12,3.75,1.62,2.88,2.88,4,4.75,2.12,1.5,3,1.62,1.75,2.12,4.12,4,2,2,3,2,2,2,1,122270,157910,82180
25,"History Teachers, Postsecondary",3.88,1.25,1,3,3.88,1,2,2.88,4,4.75,2.12,1,3,1,1,2,4.12,4.38,2,2,3,2,2,2,1,100600,79670,66120
25,Instructional Coordinators,3.88,1,1,3.62,3.75,1.25,3,3.12,4.12,4.25,2.62,1,3,1.38,1,3,4.38,4.25,2,2,3,3,2,2,1,63250,65030,73990
23,"Judges, Magistrate Judges, and Magistrates",4.62,1.12,1,3,4.25,1,2.12,2.75,4.62,4.25,2.75,1.12,3,1,1.12,2,4.38,4.12,2,2,3,2,2,2,1,72160, , 
23,Judicial Law Clerks,3.75,1.25,1,3,3.88,1.38,2.5,2.62,4.25,4.12,2.5,1,3,1,1,1.88,4.5,4.25,2,2,2,2,1,2,1,48340, , 
25,"Kindergarten Teachers, Except Special Education",3.38,2,1.5,3.75,3.38,1.62,2.5,2.75,3.88,4.12,2.62,1,3.25,1.88,2.25,2.38,4,3.88,2,2,3,3,2,2,1,54480,50610,61240
25,"Law Teachers, Postsecondary",4,1,1,3,4,1,2.12,2.62,4.12,4.62,2.25,1,2.62,1,1,2,4.38,4,2,2,2,2,2,1,1, ,140840, 
23,Lawyers,4.12,1,1,3.75,4,1.12,2.62,2.88,4.62,4.88,2.62,1,3.25,1,1,2.5,4.62,4.5,2,2,3,3,2,2,1,109190,159830,133570
25,Librarians and Media Collections Specialists,3.25,1.88,1.75,3,3.25,2.25,2.12,2.75,4.12,4.25,2.62,1.25,3,1.12,1.88,2.12,4.12,3.75,1,2,2,2,2,2,1,61090,62070,50550
25,"Library Science Teachers, Postsecondary",3.88,1.38,1,2.88,3.88,1,2.25,2.88,4.25,4.25,2.25,1,2.88,1,1,2.12,4.25,4,2,2,2,2,2,1,1, ,79710, 
25,Library Technicians,3,2.12,1.25,2.12,2.88,2.5,2,2.38,3.38,3.38,2.75,1.12,2.88,2,2.25,2,3.25,3,1,1,1,1,1,1,1,36290,42900,36770
25,"Mathematical Science Teachers, Postsecondary",4,1,1,3.12,3.88,1,4.25,3,4,4.12,2.12,1,2.88,1,1,2.12,4,3.88,2,2,2,2,1,2,1,85690,80910,71340
25,"Middle School Teachers, Except Special and Career/Technical Education",3.75,1,1,3.38,3.25,1.25,2.88,3,3.88,4.25,2.75,1,3,1.38,1,2.5,3.88,3.88,2,2,3,3,2,2,1,62000,52350,63860
25,Museum Technicians and Conservators,3.25,2,1.25,3.25,3.12,3.12,2.25,2.75,3.62,3.75,2.88,1.75,3,1.88,2.75,3.25,3.5,3.5,2,2,2,1,1,1,1,42520,40330,49490
25,"Nursing Instructors and Teachers, Postsecondary",3.88,2,1.5,3.12,3.88,2.12,3,2.75,4.12,4.12,2.88,1.5,3.12,2,2,2.12,4.12,4,2,2,3,3,2,2,2,85630,82550,73570
23,Paralegals and Legal Assistants,3.25,1.12,1,2.75,3.25,1.88,2,2.62,3.88,3.88,2.88,1,2.88,1,1,2,4,3.88,1,2,2,2,1,1,1,56870,56810,54320
25,"Philosophy and Religion Teachers, Postsecondary",3.88,1,1,3,4,1,2,3,4,4.12,2.25,1,2.5,1,1,2,4.12,4,2,2,1,2,2,1,1, ,86320, 
25,"Physics Teachers, Postsecondary",3.88,1,1,3.25,3.88,2.12,3.88,2.88,4,4.38,2.25,1.5,2.88,1,1,2.38,4,4,2,2,2,2,2,2,2,101420,99180, 
25,"Political Science Teachers, Postsecondary",3.25,1.25,1,3,3.75,1,2,2.75,4.12,4.12,2.12,1,3,1,1,1.88,4.25,4,2,2,2,3,2,1,1,108540,98060,76030
25,"Preschool Teachers, Except Special Education",3.5,2,1.38,3.62,3,2.12,2.38,2.75,4,4,2.62,1.25,2.88,2.38,2.12,2.62,3.62,3.12,1,2,2,2,2,1,1,36770,33620,33660
25,"Psychology Teachers, Postsecondary",3.88,1,1,3.25,3.88,1,2.88,2.88,4,4.5,2.12,1,2.5,1,1.12,2.12,4.12,4.12,2,2,2,2,2,1,1,85550,82820,69970
25,"Recreation and Fitness Studies Teachers, Postsecondary",3.75,1.38,1,3.25,3.75,1.12,2.5,2.62,4,4.12,2.12,1,3,1.62,1.38,2.12,4,4,2,2,3,3,2,2,1, ,70160,69280
25,"Secondary School Teachers, Except Special and Career/Technical Education",4,1,1,3.62,3.62,1.38,3,3,4.12,4.25,2.88,1,3,1.25,1,2.88,4,3.88,2,2,3,2,2,2,1,57760,53840,65210
25,Self-Enrichment Teachers,3.12,1.75,1.25,3,3,1.88,2,2.5,3.88,4,2.12,1.25,2.62,1.88,1.75,2.5,3.12,3.12,1,2,1,2,2,1,1,45510,45570,45090
25,"Social Work Teachers, Postsecondary",4,1,1,3.38,4,1,2.38,2.75,4,4.75,2,1,2.62,1,1,2,4,4,2,2,2,2,2,2,1,54580,72690, 
25,"Sociology Teachers, Postsecondary",3.88,1.12,1,3.12,4,1,2.12,2.25,4,4.5,2.12,1,2.62,1,1,1.88,4,4,2,2,2,2,2,2,1,82830,82850, 
25,"Special Education Teachers, Middle School",3.88,1.25,1.25,3.12,3.88,1.12,2.75,2.88,4,4,2.75,1,3.12,1.62,1,2.5,4.12,4,2,2,3,3,2,2,1,64180,57060,64170
25,"Special Education Teachers, Preschool",3.88,2,1.75,3.25,3.75,2.12,2,2.5,4,4.12,2.5,1,3.38,2,2,2.25,4,3.75,2,2,2,2,2,2,1, ,54250,53370
25,"Special Education Teachers, Secondary School",3.75,1.25,2,3.75,3.75,1,2.88,2.88,4,4,2.75,1.38,3.25,1.88,2,2.62,4,4,2,2,3,3,2,2,1,62790,54200,63920
25,"Teaching Assistants, Postsecondary",3.12,1,1,3.12,3.12,1.62,2.25,2.25,4.12,4.12,2.12,1,3,1,1,2.12,4,3.5,2,2,1,1,2,1,1,36630,43280, 
25,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",3.38,2.25,2,3.25,3.12,2,2.62,2.62,3.75,3.75,2.75,1.12,2.88,2.38,2.12,2.75,3.75,3.5,2,2,2,2,2,2,1, , , 
23,"Title Examiners, Abstractors, and Searchers",3.5,1.5,1,2.25,3.25,1.62,2.12,2,4,4,2.5,1,2.75,1,1,2.12,4,3.75,2,2,1,1,1,2,1,57700,57950,53420
25,Tutors,3.38,1,1,3.38,3.38,1.62,2.88,2.88,4.12,4,2.25,1,3.12,1,1,2.12,4,4,2,2,3,2,2,2,1,42520,44670,68690
