V240001,V241004,V241006,V241012,V241025,V241042,V241043,V241100,V241104,V241108,V241118,V241119,V241120,V241121,V241122,V241123,V241124,V241125,V241126,V241141,V241150,V241153,V241156,V241157,V241158,V241166,V241167,V241200,V241201,V241202,V241203,V241204,V241205,V241206,V241207,V241208,V241209,V241215,V241231,V241232,V241233,V241234,V241459,V241463,V241471,V241501x,V241621,V243052
224876,2,2,1,1,1,1,2,2,2,3,3,1,1,3,2,2,1,3,2,2,2,60,30,40,40,60,4,4,4,3,3,5,4,3,4,5,1,1,1,4,2,1,4,2,1,1,SOA
224976,1,1,1,5,1,1,1,1,1,3,3,3,3,3,3,4,4,3,1,2,2,40,15,70,70,40,3,3,2,3,2,5,5,5,5,3,1,2,1,4,2,1,4,2,1,2,SOA
226055,3,1,1,5,1,1,2,1,1,4,2,2,2,3,2,3,2,3,1,2,1,85,0,85,85,30,3,2,3,1,2,5,5,5,5,5,2,1,2,4,2,1,2,2,1,2,SOA
226203,4,2,2,5,1,2,3,5,5,1,3,1,1,2,3,1,3,2,2,2,2,0,100,50,30,100,5,5,5,5,5,2,1,2,2,1,1,2,3,4,2,4,6,2,2,2,SOA
226274,1,1,1,1,1,1,1,1,1,2,4,4,4,2,4,1,5,5,1,2,2,100,0,85,85,15,2,2,1,1,1,5,5,5,5,5,1,1,1,4,2,1,3,2,1,3,SOA
226632,2,1,1,1,1,1,1,1,1,5,3,5,3,3,4,3,5,5,2,1,1,85,0,60,100,15,1,1,1,1,1,5,5,5,5,5,1,1,2,3,3,4,2,1,1,1,SOA
226927,1,2,1,2,1,2,2,2,2,1,5,5,5,1,5,1,5,5,2,2,2,0,100,0,15,85,5,5,5,5,2,1,1,1,2,1,1,1,1,2,4,1,2,1,1,3,SOA
227133,2,2,1,5,1,2,1,2,2,2,4,4,3,1,2,1,4,2,2,2,2,15,85,15,15,70,5,4,5,4,3,2,1,3,2,2,1,1,1,4,2,1,4,2,1,3,SOA
227204,3,2,1,5,1,2,1,5,5,1,3,3,3,1,4,1,3,4,2,2,2,10,70,30,40,60,5,4,4,5,4,2,2,2,2,2,2,1,2,3,3,4,2,1,1,3,SOA
227358,2,1,1,2,1,1,1,2,2,2,4,4,4,2,4,2,4,4,2,2,2,60,40,50,70,40,3,3,2,3,3,2,3,2,3,2,2,1,1,4,2,1,3,2,1,2,SOA
227400,1,1,1,5,1,1,1,1,1,3,2,1,2,2,3,2,3,4,2,2,1,85,0,70,60,50,3,2,3,3,1,5,5,5,5,5,1,1,3,4,2,1,5,1,2,2,SOA
227411,2,1,1,2,1,1,1,2,2,3,4,4,4,4,4,3,4,4,1,1,1,85,20,70,75,25,1,1,1,1,1,5,5,3,5,4,1,1,2,3,3,6,6,1,1,3,SOA
227572,3,2,1,4,1,2,1,2,2,3,3,5,5,1,4,1,4,3,2,2,2,0,85,0,15,85,5,5,5,5,3,1,1,2,2,1,1,1,1,3,3,1,5,2,1,3,SOA
227606,3,2,1,5,1,1,2,5,5,1,3,2,2,1,5,1,3,5,2,1,2,60,0,40,30,15,5,3,4,3,4,3,5,4,5,3,1,1,1,3,2,6,2,1,1,2,SOA
227623,4,2,1,4,1,1,1,1,1,4,1,2,1,4,2,4,2,1,2,2,1,70,50,70,50,50,3,4,3,4,2,5,5,5,5,4,1,1,2,2,4,1,5,1,2,3,SOA
227724,4,1,1,2,1,2,1,2,2,1,5,5,5,1,5,1,5,5,2,2,2,50,95,10,25,70,5,4,4,4,3,1,2,2,3,1,2,1,1,2,4,1,5,1,1,5,SOA
