V240001,V241004,V241006,V241012,V241025,V241042,V241043,V241100,V241104,V241108,V241118,V241119,V241120,V241121,V241122,V241123,V241124,V241125,V241126,V241141,V241150,V241153,V241156,V241157,V241158,V241200,V241201,V241202,V241203,V241204,V241205,V241206,V241207,V241208,V241209,V241215,V241231,V241232,V241233,V241234,V241459,V241463,V241471,V241501x,V241567x,V241621,V243052
214962,3,1,1,5,1,1,1,5,5,3,3,2,3,2,3,3,3,5,2,2,1,70,0,40,1,2,2,2,3,5,5,3,5,5,2,1,1,2,2,4,4,1,6,85198,1,MWE
215185,3,1,2,5,1,1,3,5,5,5,4,3,4,2,4,1,4,5,1,1,1,85,0,50,2,1,1,1,1,5,5,4,5,3,2,1,1,4,4,1,2,1,1,19710,3,MWE
215391,3,2,1,5,1,2,1,2,2,1,5,5,5,1,5,1,5,5,2,2,2,0,60,15,5,5,4,5,5,3,3,3,5,2,2,1,1,2,2,3,4,2,1,298140,3,MWE
215415,3,2,1,5,1,2,1,2,2,1,5,5,5,1,5,1,5,4,2,2,2,0,100,0,4,5,5,5,1,2,1,2,3,1,1,1,1,2,4,1,4,2,1,133356,2,MWE
316251,4,1,1,5,1,1,2,1,1,3,1,1,1,3,1,2,1,1,2,2,1,30,0,40,3,3,2,3,1,5,5,5,5,5,2,1,1,3,2,1,5,1,2,252315,3,MWE
316600,3,2,1,5,1,2,3,5,1,4,1,4,1,1,1,1,1,1,2,2,2,50,50,50,4,4,4,4,4,4,4,4,5,4,2,1,2,3,3,6,2,2,2,9722,1,MWE
319050,1,2,1,5,1,2,2,2,2,3,3,3,3,1,5,1,5,3,2,2,2,25,85,15,5,5,4,5,2,2,4,2,4,2,2,1,1,2,3,3,2,1,1,100382,1,MWE
323461,4,2,1,5,1,1,2,5,1,3,3,2,4,2,3,1,3,3,2,1,1,85,50,60,4,3,3,3,2,4,5,5,3,5,2,1,1,3,4,6,3,2,6,27598,4,MWE
331168,2,2,1,5,1,1,1,2,2,2,5,5,5,1,5,1,5,5,2,2,2,60,25,25,3,2,3,3,1,3,4,1,5,4,1,1,1,3,3,6,2,1,1,42981,3,MWE
331305,4,2,1,5,1,1,3,5,5,2,4,4,3,3,4,2,4,4,2,2,2,60,8,60,4,3,3,4,4,5,4,3,5,5,2,1,1,3,3,6,2,1,1,82326,3,MWE
331503,2,2,1,5,1,2,1,5,5,1,4,5,5,2,5,2,5,5,2,1,2,0,100,15,5,5,5,5,2,1,2,1,1,1,2,1,1,2,4,1,5,1,1,156302,1,MWE
335445,1,1,1,5,1,1,1,1,1,3,3,2,3,4,3,3,2,3,1,1,1,100,0,100,1,2,1,2,2,5,5,5,5,4,1,1,2,3,2,1,5,1,1,219403,2,MWE
342163,2,1,1,5,1,1,1,1,1,3,4,2,3,2,4,2,4,5,1,1,1,85,15,70,4,3,3,3,1,4,4,5,5,2,1,1,1,3,2,1,4,1,1,177274,1,MWE
345922,1,1,1,5,1,1,1,1,1,3,2,1,2,3,3,3,4,3,1,1,1,85,0,60,3,3,3,2,2,4,5,5,5,3,1,2,2,4,2,1,4,1,1,48938,2,MWE
349491,3,1,1,5,1,1,1,2,5,1,1,3,3,1,1,1,5,1,1,2,2,85,30,60,1,3,2,2,2,4,4,5,5,1,2,1,1,3,3,1,3,1,2,109327,4,MWE
351238,1,1,1,5,1,1,1,5,5,5,5,3,3,3,3,3,3,5,1,1,1,85,30,85,2,2,1,1,2,4,5,5,5,3,2,1,1,3,3,4,2,2,6,23104,3,MWE
357891,2,1,1,5,1,1,1,1,1,3,1,1,3,3,3,1,2,2,1,2,-8,40,0,50,3,4,1,2,3,3,5,5,5,2,1,1,2,3,2,4,6,1,1,188828,1,MWE
366544,4,2,1,5,1,2,3,1,5,3,2,2,2,3,2,2,3,2,2,1,2,50,50,45,3,4,3,3,2,2,5,3,5,3,1,1,1,1,4,6,4,1,4,261100,4,MWE
371499,2,1,1,5,1,1,1,1,1,3,2,2,3,3,2,4,5,2,1,2,1,70,30,70,2,1,1,2,1,4,3,5,5,3,1,1,2,4,2,1,2,2,1,44498,1,MWE
371599,3,2,1,5,1,2,1,2,2,1,4,5,4,1,4,3,4,4,2,2,2,0,85,15,4,5,5,5,3,1,1,1,2,1,1,1,1,3,2,1,2,2,1,47802,2,MWE
375448,1,2,1,5,1,2,1,2,2,3,3,4,4,2,4,3,3,4,2,2,2,0,70,0,5,3,3,4,2,4,3,2,3,2,2,1,1,3,2,1,2,1,1,296545,2,MWE
379149,1,1,1,5,1,1,2,5,1,5,5,5,5,5,5,2,3,5,1,2,2,100,15,70,1,1,1,1,1,5,5,5,5,5,2,2,1,4,4,6,2,2,2,19867,2,MWE
383828,2,1,1,5,1,1,1,1,1,3,2,2,1,3,2,3,3,2,1,1,1,70,0,70,3,3,2,3,3,5,5,5,5,4,1,2,2,4,2,1,5,2,1,199894,2,MWE
393905,3,1,1,5,1,1,1,1,1,4,1,1,1,4,2,2,1,3,1,1,1,95,0,90,1,1,1,1,2,5,5,5,5,5,1,1,1,3,2,1,5,2,1,491601,3,MWE
395642,3,2,1,5,1,2,2,5,5,3,2,2,1,3,4,3,2,3,2,2,2,50,70,50,5,5,4,5,4,3,4,2,4,2,2,1,1,3,5,6,1,2,1,9264,3,MWE
