V240001,V241004,V241006,V241012,V241025,V241042,V241043,V241100,V241104,V241108,V241118,V241119,V241120,V241121,V241122,V241123,V241124,V241125,V241126,V241141,V241150,V241153,V241166,V241167,V241200,V241201,V241202,V241203,V241204,V241205,V241206,V241207,V241208,V241209,V241215,V241231,V241232,V241233,V241234,V241459,V241463,V241471,V241501x,V241521,V241567x,V241621,V243052
230420,2,2,1,2,1,2,1,2,2,3,3,3,3,2,4,1,5,3,2,2,2,15,70,5,5,4,5,1,1,1,1,3,2,2,1,1,3,3,1,2,2,1,0,87823,3,SW
230868,3,2,1,5,1,2,4,5,5,3,5,5,5,1,5,2,5,5,2,2,2,15,15,5,5,4,5,5,5,5,4,5,5,3,1,2,3,2,1,2,1,1,2,39288,4,SW
231013,2,1,1,5,1,2,4,2,5,2,5,2,2,1,4,1,3,5,2,2,2,40,50,4,5,5,4,3,2,3,1,4,2,1,1,1,3,3,1,1,2,1,0,80577,2,SW
231166,2,2,1,5,1,2,1,2,2,1,4,4,4,1,5,1,4,4,2,2,2,30,85,5,5,5,5,5,1,2,3,2,3,1,1,1,2,4,1,2,2,1,3,717893,3,SW
231501,2,2,1,5,1,2,1,2,2,1,4,4,3,1,4,3,4,4,2,2,2,15,70,5,3,4,4,5,1,2,2,3,2,1,1,1,2,2,1,5,1,1,0,173065,2,SW
311596,1,1,1,1,1,1,2,1,1,4,4,5,4,4,4,4,2,2,1,2,2,100,30,1,1,1,2,2,1,2,2,3,2,2,2,3,4,4,6,2,2,2,0,9345,2,SW
311721,1,1,1,5,1,2,1,2,5,5,4,4,2,2,4,2,5,5,2,2,2,29,64,4,3,5,3,2,2,3,2,4,2,2,1,2,3,3,6,4,1,3,0,4118,2,SW
312182,2,2,1,5,1,1,1,1,5,2,3,1,3,1,3,1,3,3,1,2,2,60,40,3,3,4,4,2,5,5,5,5,3,2,1,1,3,2,3,2,2,1,0,24890,3,SW
314093,4,1,1,5,1,1,2,5,5,3,3,2,3,2,3,2,2,3,2,2,2,40,30,4,3,4,2,3,3,4,4,3,2,2,1,2,3,3,6,4,1,1,0,130343,1,SW
315330,3,1,1,2,1,2,1,2,2,1,4,5,4,1,5,1,5,4,2,2,2,15,85,5,5,5,4,1,2,2,1,2,2,2,1,2,3,2,1,3,2,1,0,32446,1,SW
