V240001,V241004,V241006,V241012,V241025,V241042,V241043,V241100,V241104,V241108,V241118,V241119,V241120,V241121,V241122,V241123,V241124,V241125,V241126,V241141,V241150,V241153,V241166,V241167,V241200,V241201,V241202,V241203,V241204,V241205,V241206,V241207,V241208,V241209,V241215,V241231,V241232,V241233,V241234,V241459,V241463,V241471,V241501x,V241521,V241567x,V241621,V243052
206002,1,2,1,2,1,2,1,2,2,1,5,5,5,1,5,1,5,5,2,2,2,15,60,5,5,5,5,2,1,2,2,3,1,2,1,1,3,4,4,2,1,6,0,27928,1,MIDA
206071,5,2,1,4,1,2,2,2,2,2,3,3,3,1,3,1,3,3,2,2,2,15,15,4,5,4,4,3,3,5,2,5,2,2,1,1,2,2,1,4,1,1,0,194341,4,MIDA
206291,2,1,1,2,1,1,1,1,2,3,3,2,3,3,3,4,3,3,1,1,1,85,40,2,2,1,2,1,4,5,4,5,3,1,1,1,4,2,1,4,2,1,0,123338,1,MIDA
206296,1,1,1,2,1,2,1,2,2,3,2,3,2,1,2,1,2,3,2,2,2,15,80,5,5,5,5,5,1,1,1,1,1,1,1,1,4,2,4,2,2,1,0,32700,3,MIDA
206385,4,1,1,2,1,2,1,2,2,2,5,3,3,2,4,2,3,5,2,2,2,20,55,5,5,2,5,4,1,2,2,2,1,1,1,1,4,2,1,3,2,1,0,85133,2,MIDA
206439,4,1,1,1,1,1,3,1,5,1,3,2,3,1,4,1,2,2,2,2,1,60,40,4,4,4,4,4,5,5,4,5,3,2,1,1,2,4,1,3,1,1,0,146324,1,MIDA
206469,2,2,2,5,1,2,2,1,5,2,4,4,4,1,4,1,4,4,2,2,1,15,60,3,3,1,3,3,5,5,3,5,3,2,1,1,2,4,1,2,1,1,1,86169,2,MIDA
206828,2,2,1,2,1,2,1,2,2,1,3,3,3,2,3,1,3,2,2,2,2,30,85,5,5,5,5,3,1,1,2,3,1,1,1,1,3,3,4,2,1,1,1,43880,2,MIDA
320048,2,1,1,4,1,1,1,1,5,5,2,5,2,3,3,1,2,5,1,2,1,70,15,1,3,1,3,1,5,5,5,5,5,1,1,1,3,2,1,5,1,4,0,258487,2,MIDA
321450,1,1,1,1,1,1,1,1,1,2,2,2,2,3,2,2,3,2,1,1,1,70,40,2,2,1,2,1,4,5,5,5,5,1,2,1,4,2,1,4,2,1,0,102726,1,MIDA
326602,4,2,1,2,1,2,4,2,5,1,1,2,2,1,4,2,2,1,2,2,2,30,70,5,5,4,5,2,1,2,3,3,2,2,1,1,4,4,6,2,2,1,0,5792,3,MIDA
330021,2,1,1,1,1,1,1,1,1,2,2,3,3,4,2,3,5,3,1,2,1,70,15,3,3,2,3,1,1,5,5,5,3,2,1,1,4,2,6,5,1,1,0,55774,1,MIDA
341749,2,2,1,2,1,2,4,2,2,5,4,4,4,1,5,3,5,4,2,2,2,20,80,5,5,4,5,5,2,3,2,3,4,1,1,1,4,2,1,2,1,1,0,36464,1,MIDA
344488,4,1,1,1,1,1,1,1,5,2,3,3,4,2,4,2,4,3,2,1,1,60,30,3,4,3,3,2,4,5,4,5,3,1,1,2,4,3,6,4,1,1,0,122795,3,MIDA
347406,2,1,1,1,1,1,1,1,1,4,2,2,2,3,2,4,2,2,1,1,1,75,40,3,3,1,2,1,5,5,4,5,4,1,2,1,4,2,1,6,1,1,2,464978,2,MIDA
347601,3,1,2,5,1,1,2,5,5,1,4,3,5,1,4,1,4,4,2,2,2,85,70,1,2,1,2,2,4,4,4,4,4,3,1,1,3,4,6,2,1,2,1,118654,3,MIDA
350030,3,1,1,1,1,1,1,1,1,3,4,4,4,2,5,2,4,5,1,1,1,85,20,1,2,1,1,1,5,5,5,5,4,2,1,2,4,2,1,6,1,1,2,342718,3,MIDA
353269,1,2,1,2,1,2,1,2,2,2,2,1,2,2,2,3,3,2,2,2,2,30,40,4,5,4,5,3,3,4,3,4,2,2,1,1,4,2,1,5,2,1,0,88785,3,MIDA
368554,1,1,1,1,1,1,1,1,1,3,1,2,2,3,2,3,2,2,1,1,1,70,15,3,2,2,3,2,5,5,4,5,3,1,2,2,3,2,1,5,2,1,0,56835,2,MIDA
371192,3,1,2,5,1,1,4,5,5,3,5,5,4,1,4,1,4,5,1,1,1,70,15,2,2,2,3,2,5,5,5,5,3,1,1,1,3,3,6,4,1,1,0,42790,2,MIDA
372998,4,1,2,5,1,1,2,1,1,4,3,3,3,3,4,2,3,4,2,2,2,70,60,3,2,2,3,2,3,4,3,5,3,1,1,1,3,2,1,2,1,3,0,94018,2,MIDA
374873,1,1,1,1,1,1,1,1,5,2,5,5,2,1,4,5,2,5,1,1,1,85,15,1,1,1,1,1,5,5,5,5,5,2,1,2,3,4,1,1,2,2,0,81914,3,MIDA
388490,2,2,1,2,1,2,1,2,2,2,5,5,5,2,5,2,5,5,2,2,2,15,85,5,3,5,5,3,1,1,1,1,1,2,1,1,3,3,4,2,1,1,2,73073,2,MIDA
