V240001,V241004,V241006,V241012,V241025,V241042,V241043,V241100,V241104,V241108,V241118,V241119,V241120,V241121,V241122,V241123,V241124,V241125,V241126,V241141,V241150,V241153,V241166,V241167,V241200,V241201,V241202,V241203,V241204,V241205,V241206,V241207,V241208,V241209,V241215,V241231,V241232,V241233,V241234,V241459,V241463,V241471,V241501x,V241521,V241567x,V241621,V243052
314803,2,2,1,4,1,2,1,2,2,4,4,4,4,3,3,1,5,4,2,2,2,50,50,5,5,5,5,2,2,2,3,3,2,3,1,1,2,3,1,2,1,1,4,83457,2,NE
316016,2,2,1,4,1,1,1,1,5,2,3,3,3,2,4,1,4,3,2,2,1,40,15,3,3,2,4,2,5,5,4,4,2,2,1,1,2,2,6,4,1,1,0,169109,3,NE
316169,4,2,1,2,1,2,1,2,2,5,2,2,4,3,2,3,3,2,2,2,2,25,65,5,3,4,5,2,1,2,2,3,3,1,1,1,3,3,1,4,1,1,1,293664,1,NE
317151,3,2,1,2,1,2,1,2,2,1,4,1,2,1,3,1,4,3,2,2,2,15,70,5,5,5,5,5,2,2,1,3,1,1,1,1,4,2,1,2,2,1,0,34497,1,NE
320644,5,1,1,2,1,2,1,2,5,1,1,5,5,1,1,5,2,5,2,2,2,100,70,1,1,1,1,5,1,5,1,1,1,3,2,2,3,3,1,1,2,3,1,6316,1,NE
321154,2,2,1,2,1,2,1,2,2,2,4,4,3,1,3,1,2,3,2,2,2,15,40,5,5,5,4,4,1,1,2,3,3,3,1,1,2,3,1,3,1,1,0,96396,1,NE
321483,1,1,1,1,1,1,1,1,1,5,4,3,3,4,4,3,3,3,1,2,1,85,15,1,1,1,2,1,5,5,5,5,5,1,2,2,4,2,4,4,2,1,0,22899,1,NE
326928,4,1,1,4,1,1,1,1,1,2,4,4,2,2,4,2,3,4,2,2,1,70,60,2,2,2,2,2,5,5,4,5,2,1,1,2,3,4,1,4,1,1,2,441410,2,NE
328506,1,2,1,2,1,2,1,2,2,4,4,3,3,3,5,4,4,4,2,2,2,10,90,5,5,4,5,4,2,2,1,2,2,1,1,1,3,4,4,5,1,1,2,142491,2,NE
330896,1,2,1,1,1,1,1,1,1,3,4,3,4,3,5,1,4,4,1,1,1,70,15,3,2,2,2,2,4,5,5,5,4,2,1,2,3,3,1,4,2,1,0,64898,3,NE
331565,3,2,1,2,1,2,2,2,2,2,2,3,4,2,2,1,4,2,2,2,2,30,60,5,5,4,3,2,2,3,2,3,2,1,1,1,3,2,1,3,1,1,0,82771,2,NE
333458,3,2,1,4,1,2,2,2,2,2,4,4,3,1,3,1,3,4,2,2,1,40,60,4,2,2,2,1,3,5,3,5,2,2,1,1,2,2,4,2,2,1,0,248401,4,NE
334817,2,2,2,5,1,2,2,5,5,1,3,2,2,1,4,1,5,2,2,2,2,30,100,5,5,4,5,4,1,1,2,1,2,3,1,2,3,3,6,2,2,1,0,13850,3,NE
335946,2,1,1,4,1,1,1,5,2,3,1,1,1,2,1,2,1,1,1,2,1,60,30,2,2,2,3,4,4,5,5,5,5,1,1,2,4,2,1,4,2,1,1,270086,1,NE
336728,2,1,1,4,1,1,1,1,1,3,3,1,2,3,2,3,2,2,1,1,1,65,15,2,3,2,2,1,5,5,5,5,4,1,2,3,4,2,1,5,1,1,0,212666,2,NE
338347,2,1,1,4,1,1,1,1,1,3,2,1,3,2,2,3,2,2,1,2,1,60,15,3,3,1,2,2,5,5,4,5,3,1,1,2,4,4,6,4,1,2,0,87667,2,NE
346089,1,1,1,1,1,1,1,1,5,3,4,4,4,1,5,3,5,5,1,1,1,70,30,1,1,1,1,1,4,5,5,5,5,1,1,2,4,4,6,3,1,1,0,70908,3,NE
350868,4,2,1,4,1,1,1,5,2,2,5,5,5,2,5,2,5,5,2,2,1,40,40,5,5,3,3,2,5,5,5,5,3,1,1,1,3,3,1,4,2,1,0,631154,3,NE
351859,1,1,2,5,1,1,5,5,5,4,3,3,3,2,4,4,5,3,1,1,1,60,30,1,1,2,3,2,4,5,5,5,3,1,1,1,3,3,6,2,1,2,0,77561,3,NE
357625,1,1,1,1,1,1,1,1,1,5,3,5,4,2,4,4,5,4,1,1,1,85,15,3,2,1,2,2,4,5,5,5,3,1,1,2,4,2,1,5,1,1,2,81255,2,NE
358575,2,1,1,1,1,1,1,1,5,3,2,1,1,2,2,1,2,1,1,1,1,70,30,4,3,3,2,2,4,5,5,5,4,3,2,3,4,2,6,5,1,1,0,190034,1,NE
